year,month,mean_daily_max_temp_c,mean_daily_min_temp_c,day_air_frost,rainfall_mm,,
1978,2*,6.20,0.90,13,134.10,,
1978,1*,7.50,2.00,6,134.10,,
1978,12,8.20,3.40,6,219.50,,
1978,3,10.60,3.90,3,121.30,,
1978,4,10.90,3.70,4,63.60,,
1978,11,12.50,5.70,4,82.80,,
1978,10,16.60,9.00,0,12.00,,
1978,5,17.30,7.50,0,30.60,,
1978,9,18.40,10.20,0,34.10,,
1978,6,18.50,9.50,0,29.60,,
1978,7*,18.70,11.80,0,110.10,,
1978,8,19.60,11.40,0,40.50,,
1979,2,4.40,-0.40,13,81.90,,
1979,1,4.60,-2.90,27,117.80,,
1979,3,8.40,2.60,2,112.90,,
1979,12,10.10,4.00,8,180.90,,
1979,11,11.20,3.50,5,90.90,,
1979,4,12.30,4.70,3,60.20,,
1979,5,13.90,5.90,5,109.80,,
1979,10,15.50,8.70,0,88.80,,
1979,9,17.70,9.00,0,59.10,,
1979,6,18.20,9.80,0,25.90,,
1979,8,18.90,11.20,0,135.40,,
1979,7,21.10,12.40,0,37.30,,
1980,1,6.00,-0.80,19,96.60,,
1980,3,8.80,2.80,3,152.60,,
1980,12,9.50,3.30,8,108.20,,
1980,11,9.80,5.10,4,131.80,,
1980,2,9.90,4.40,1,122.40,,
1980,10,13.30,5.80,0,147.50,,
1980,4,14.40,4.50,3,15.00,,
1980,5,17.70,7.40,0,43.60,,
1980,6,18.30,10.30,0,125.80,,
1980,9,18.50,11.80,0,99.20,,
1980,7,19.00,11.20,0,67.20,,
1980,8,20.00,12.60,0,85.80,,
1981,12,5.70,-0.30,16,118.70,,
1981,2,6.80,0.70,13,62.90,,
1981,1,8.80,2.60,7,58.20,,
1981,11,11.40,5.20,2,72.50,,
1981,3,11.60,6.70,1,204.10,,
1981,10,12.60,5.50,2,148.40,,
1981,4,13.20,5.30,0,37.10,,
1981,5,15.40,7.90,0,125.00,,
1981,6,17.80,10.60,0,49.50,,
1981,9,19.30,10.90,0,218.80,,
1981,7,20.00,12.70,0,30.10,,
1981,8,22.10,12.10,0,27.80,,
1982,1,6.50,0.90,11,85.30,,
1982,12,8.40,2.30,8,166.90,,
1982,2,8.80,3.30,4,69.50,,
1982,3,10.50,3.20,3,152.40,,
1982,11,11.30,6.20,4,193.90,,
1982,10,13.90,7.90,0,128.90,,
1982,4,14.20,4.70,1,31.50,,
1982,5,17.30,6.80,1,34.30,,
1982,9,19.10,11.00,0,101.10,,
1982,8,20.10,12.40,0,95.40,,
1982,6,20.90,12.20,0,77.70,,
1982,7,21.60,13.20,0,29.70,,
1983,2,5.50,0.30,15,30.40,,
1983,12,9.90,3.50,8,122.30,,
1983,1,10.20,4.40,2,190.30,,
1983,3,10.30,4.10,3,57.20,,
1983,11,10.90,5.90,5,64.30,,
1983,4,11.80,3.50,1,97.70,,
1983,5,14.20,7.80,0,137.90,,
1983,10,14.50,7.80,1,93.20,,
1983,9,17.10,11.00,0,185.70,,
1983,6,19.20,11.20,0,32.20,,
1983,8,23.50,13.20,0,34.20,,
1983,7,25.90,15.10,0,18.00,,
1984,2,7.90,1.80,7,67.30,,
1984,1,8.30,1.60,8,205.70,,
1984,3,9.20,2.60,3,31.10,,
1984,12,9.60,2.60,7,115.00,,
1984,11,11.60,5.80,2,218.20,,
1984,4,14.80,3.70,6,9.50,,
1984,10,15.30,8.90,1,147.70,,
1984,5,16.10,6.80,0,60.00,,
1984,9,18.30,11.00,0,149.10,,
1984,6,20.90,10.60,0,35.90,,
1984,7,23.10,12.50,0,14.70,,
1984,8,23.30,13.80,0,47.50,,
1985,1,5.40,-1.50,23,88.00,,
1985,2,6.60,0.20,14,69.40,,
1985,3,9.60,1.90,8,79.20,,
1985,4,13.30,5.60,0,71.60,,
1985,5,16.60,7.50,0,44.20,,
1985,6,17.40,9.70,0,157.40,,
1985,8,18.40,12.30,0,186.60,,
1985,9,18.90,11.00,0,64.00,,
1985,7,21.20,12.50,0,95.90,,
1985,12,10.20,4.90,5,175.50,,
1985,10,14.70,8.10,0,69.70,,
1985,11,8.60,1.10,6,59.50,,
1986,12,10.30,3.20,6,179.50,,
1986,11,12.10,4.30,1,177.60,,
1986,10,15.10,6.40,2,137.40,,
1986,9,16.70,7.40,0,20.60,,
1986,4,10.60,2.70,3,78.40,,
1986,5,15.00,7.60,0,89.10,,
1986,8,17.90,10.60,0,118.10,,
1986,2,2.10,-2.30,22,6.40,,
1986,7,20.20,12.40,0,69.70,,
1986,6,20.50,10.80,0,60.20,,
1986,1,7.60,2.10,8,153.80,,
1986,3,9.70,2.50,4,108.20,,
1987,1,4.20,-0.60,16,17.00,,
1987,2,7.60,1.70,9,111.20,,
1987,12,8.40,4.50,4,91.40,,
1987,3,8.60,2.30,8,105.30,,
1987,11,10.20,4.90,2,109.40,,
1987,10,14.00,6.90,3,190.90,,
1987,4,15.60,6.60,0,74.70,,
1987,5,16.10,6.80,0,36.00,,
1987,6,17.60,10.30,0,97.90,,
1987,9,18.60,10.50,0,79.60,,
1987,7,21.40,12.30,0,71.00,,
1987,8,21.60,12.30,0,36.10,,
1988,1,9.00,3.90,2,222.00,,
1988,2,9.30,2.00,6,74.40,,
1988,11,10.20,1.90,13,39.40,,
1988,3,10.80,4.50,4,112.30,,
1988,12,11.00,5.60,2,35.60,,
1988,4,13.40,5.10,2,46.60,,
1988,10,14.40,8.40,0,126.40,,
1988,5,17.50,7.90,0,79.90,,
1988,9,17.70,10.20,0,103.20,,
1988,7,18.40,12.20,0,154.40,,
1988,8,19.60,11.60,0,140.30,,
1988,6,19.80,11.20,0,31.80,,
1989,12,8.80,3.30,2,155.20,,
1989,1,9.90,3.70,6,69.60,,
1989,2,10.40,2.90,5,127.80,,
1989,11,10.70,4.30,4,81.90,,
1989,4,11.50,3.00,5,76.90,,
1989,3,11.90,4.50,2,157.50,,
1989,10,15.70,8.50,0,144.40,,
1989,9,19.50,10.90,0,68.60,,
1989,5,19.90,9.80,0,10.10,,
1989,6,20.80,10.60,0,41.40,,
1989,8,22.20,12.20,0,56.80,,
1989,7,24.70,14.10,0,68.90,,
1990,12,8.10,2.30,8,98.30,,
1990,1,10.30,4.00,6,162.20,,
1990,11,10.50,4.20,3,89.20,,
1990,2,11.00,5.60,0,180.60,,
1990,3,12.70,5.10,5,23.90,,
1990,4,14.10,3.80,5,25.10,,
1990,10,16.10,9.60,0,129.40,,
1990,6,18.00,10.80,0,94.60,,
1990,5,19.90,9.10,0,13.80,,
1990,7,23.70,12.80,0,58.40,,
1990,9,18.60,8.90,0,71.00,,
1990,8,23.50,13.40,0,53.90,,
1991,2,6.00,-0.80,18,75.50,,
1991,1,7.00,1.70,8,128.50,,
1991,12,8.00,3.10,5,49.00,,
1991,11,10.60,3.80,8,118.20,,
1991,3,12.00,5.50,3,100.70,,
1991,4,12.70,5.20,0,95.70,,
1991,10,13.60,7.20,0,121.20,,
1991,6,16.40,9.40,0,126.00,,
1991,5,16.70,8.20,0,3.50,,
1991,9,20.10,10.80,0,66.80,,
1991,7,21.10,13.80,0,83.30,,
1991,8,22.20,13.30,0,30.40,,
1992,1,6.70,1.80,13,41.00,,
1992,12,7.30,2.10,11,71.60,,
1992,2,9.20,2.60,8,46.40,,
1992,3,11.30,4.90,1,76.50,,
1992,11,11.30,4.40,1,220.00,,
1992,10,12.00,4.60,6,63.20,,
1992,4,13.00,5.70,2,83.20,,
1992,9,17.30,10.60,0,109.90,,
1992,5,19.30,9.50,0,49.00,,
1992,8,19.40,12.40,0,184.80,,
1992,7,20.90,13.40,0,90.30,,
1992,6,22.30,11.10,0,20.70,,
1993,2,8.20,3.00,4,15.30,,
1993,11,9.10,2.80,6,95.10,,
1993,12,9.60,3.60,6,249.50,,
1993,1,10.10,3.60,5,181.80,,
1993,3,10.90,3.60,6,26.40,,
1993,10,12.50,5.80,3,84.40,,
1993,4,13.50,6.90,1,89.70,,
1993,5,16.10,8.40,0,62.70,,
1993,9,17.40,9.10,0,95.30,,
1993,8,19.60,11.00,0,40.00,,
1993,7,20.00,11.90,0,135.70,,
1993,6,20.60,11.50,0,64.90,,
1994,2,7.30,1.30,10,140.30,,
1994,1,9.00,3.40,6,175.20,,
1994,12,10.60,4.60,5,199.70,,
1994,3,11.30,5.40,1,148.30,,
1994,4,13.00,5.10,3,84.00,,
1994,11,13.30,8.60,0,146.00,,
1994,10,14.80,6.70,0,139.70,,
1994,5,15.50,8.40,0,87.20,,
1994,9,16.90,10.00,0,87.80,,
1994,6,19.30,10.70,0,45.80,,
1994,8,20.50,12.50,0,68.00,,
1994,7,23.10,13.60,0,44.50,,
1995,12,5.80,1.00,12,125.30,,
1995,1,8.90,2.90,5,211.30,,
1995,2,10.50,4.50,1,138.70,,
1995,3,10.70,2.10,8,67.40,,
1995,11,12.00,5.00,4,117.10,,
1995,4,14.30,6.00,3,27.90,,
1995,10,17.00,10.50,0,106.20,,
1995,5,17.30,7.30,0,86.20,,
1995,9,18.40,10.00,0,122.40,,
1995,6,20.30,10.80,0,8.90,,
1995,7,23.40,14.30,0,44.20,,
1995,8,26.00,14.50,0,9.20,,
1996,12,6.80,1.40,12,52.50,,
1996,1,6.90,3.40,6,68.40,,
1996,2,6.90,0.30,18,90.80,,
1996,3,8.80,2.90,4,59.90,,
1996,11,10.30,3.00,12,156.20,,
1996,4,13.80,5.10,1,70.20,,
1996,5,14.40,6.00,0,97.60,,
1996,10,15.50,8.90,0,152.60,,
