country,FR_Country,score_2019,zone,score_2020,rank_2019
Afghanistan,Afghanistan,36.55,Asia-Pacific,37.7,121.00
Angola,Angola,34.96,Africa,33.9,109.00
Albania,Albanie,29.84,EU Balkans,30.3,82.00
Andorra,Andorre,24.63,EU Balkans,23.2,37.00
United Arab Emirates,Émirats arabes unis,43.63,MENA,42.7,133.00
Argentina,Argentine,28.3,Americas,28.8,57.00
Armenia,Arménie,28.98,EECA,28.6,61.00
Australia,Australie,16.55,Asia-Pacific,20.2,21.00
Austria,Autriche,15.33,EU Balkans,15.8,16.00
Azerbaijan,Azerbaïdjan,59.13,EECA,58.5,166.00
Burundi,Burundi,52.89,Africa,55.3,159.00
Belgium,Belgique,12.07,EU Balkans,12.6,9.00
Benin,Bénin,31.74,Africa,35.1,96.00
Burkina Faso,Burkina Faso,24.53,Africa,23.5,36.00
Bangladesh,Bangladesh,50.74,Asia-Pacific,49.4,150.00
Bulgaria,Bulgarie,35.11,EU Balkans,35.1,111.00
Bahrain,Bahreïn,61.31,MENA,60.1,167.00
Bosnia and Herzegovina,Bosnie-Herzégovine,29.02,EU Balkans,28.5,63.00
Belarus,Bélarus,51.66,EECA,49.8,153.00
Belize,Bélize,27.5,Americas,27.5,53.00
Bolivia,Bolivie,35.38,Americas,35.4,113.00
Brazil,Brésil,32.79,Americas,34.1,105.00
Brunei Darussalam,Brunei,51.48,Asia-Pacific,49.7,152.00
Bhutan,Bhoutan,29.81,Asia-Pacific,28.9,80.00
Botswana,Botswana,25.09,Africa,23.6,44.00
Central African Republic,République centrafricaine,47.27,Africa,42.9,145.00
Canada,Canada,15.69,Americas,15.3,18.00
Switzerland,Suisse,10.52,EU Balkans,10.6,6.00
Chile,Chili,25.65,Americas,27.3,46.00
China,Chine,78.92,Asia-Pacific,78.5,177.00
Ivory Coast,Côte d'Ivoire,29.52,Africa,28.9,71.00
Cameroon,Cameroun,43.32,Africa,43.3,131.00
The Democratic Republic Of The Congo,RD Congo,51.71,Africa,49.1,154.00
Congo,Congo,36.04,Africa,36.6,117.00
Colombia,Colombie,42.82,Americas,42.7,129.00
Comoros,Comores,27.91,Africa,29.8,56.00
Cape Verde,Cap-Vert,19.81,Africa,20.2,25.00
Costa Rica,Costa Rica,12.24,Americas,10.5,10.00
Cyprus North,Chypre (partie Nord),29.67,EU Balkans,29.8,74.00
Cuba,Cuba,63.81,Americas,63.8,169.00
Cyprus,Chypre,21.74,EU Balkans,20.5,28.00
Czech Republic,République tchèque,24.89,EU Balkans,23.6,40.00
Germany,Allemagne,14.6,EU Balkans,12.2,13.00
Djibouti,Djibouti,71.36,Africa,76.7,173.00
Denmark,Danemark,9.87,EU Balkans,8.1,5.00
Dominican Republic,République dominicaine,27.9,Americas,27.9,55.00
Algeria,Algérie,45.75,MENA,45.5,141.00
Ecuador,Equateur,31.88,Americas,32.6,97.00
Egypt,Égypte,56.47,MENA,56.8,163.00
Eritrea,Érythrée,80.26,Africa,83.5,178.00
Spain,Espagne,21.99,EU Balkans,22.2,29.00
Estonia,Estonie,12.27,EU Balkans,12.6,11.00
Ethiopia,Éthiopie,35.11,Africa,32.8,110.00
Finland,Finlande,7.9,EU Balkans,7.9,2.00
Fiji,Fidji,27.18,Asia-Pacific,27.4,52.00
France,France,22.21,EU Balkans,22.9,32.00
Gabon,Gabon,35.6,Africa,37.2,115.00
United Kingdom,Royaume-Uni,22.23,EU Balkans,22.9,33.00
Georgia,Géorgie,28.98,EECA,28.6,60.00
Ghana,Ghana,20.81,Africa,22.3,27.00
Guinea,Guinée,33.49,Africa,34.3,107.00
Gambia,Gambie,31.35,Africa,30.6,92.00
Guinea-Bissau,Guinée-Bissau,30.95,Africa,32.1,89.00
Equatorial Guinea,Guinée équatoriale,58.35,Africa,56.4,165.00
Greece,Grèce,29.08,EU Balkans,28.8,65.00
Guatemala,Guatemala,35.94,Americas,35.7,116.00
Guyana,Guyana,26.63,Americas,26.6,51.00
Hong Kong,Hong-Kong,29.65,Asia-Pacific,30.0,73.00
Honduras,Honduras,48.53,Americas,48.2,146.00
Croatia,Croatie,29.03,EU Balkans,28.5,64.00
Haiti,Haïti,29,Americas,30.2,62.00
Hungary,Hongrie,30.44,EU Balkans,30.8,87.00
Indonesia,Indonésie,36.77,Asia-Pacific,36.8,124.00
India,Inde,45.67,Asia-Pacific,45.3,140.00
Ireland,Irlande,15,EU Balkans,12.6,15.00
Islamic Republic of Iran,Iran,64.41,MENA,64.8,170.00
Iraq,Irak,52.6,MENA,55.4,156.00
Iceland,Islande,14.71,EU Balkans,15.1,14.00
Israel,Israël,30.8,MENA,30.8,88.00
Italy,Italie,24.98,EU Balkans,23.7,43.00
Jamaica,Jamaïque,11.13,Americas,10.5,8.00
Jordan,Jordanie,43.11,MENA,42.1,130.00
Japan,Japon,29.36,Asia-Pacific,28.9,67.00
Kazakhstan,Kazakhstan,52.82,EECA,54.1,158.00
Kenya,Kenya,32.44,Africa,33.7,100.00
Kyrgyzstan,Kirghizstan,29.92,EECA,30.2,83.00
Cambodia,Cambodge,45.9,Asia-Pacific,45.5,143.00
South Korea,Corée du Sud,24.94,Asia-Pacific,23.7,41.00
Kuwait,Koweït,33.86,MENA,34.3,108.00
Lao People's Democratic Republic,Laos,64.49,Asia-Pacific,64.3,171.00
Lebanon,Liban,32.44,MENA,33.2,101.00
Liberia,Liberia,31.49,Africa,32.3,93.00
Libya,Libye,55.77,MENA,55.8,162.00
Liechtenstein,Liechtenstein,20.49,EU Balkans,19.5,26.00
Sri Lanka,Sri Lanka,39.61,Asia-Pacific,41.9,126.00
Lesotho,Lesotho,29.74,Africa,30.5,78.00
Lithuania,Lituanie,22.06,EU Balkans,21.2,30.00
Luxembourg,Luxembourg,15.66,EU Balkans,15.5,17.00
Latvia,Lettonie,19.53,EU Balkans,18.6,24.00
Morocco,Maroc,43.98,MENA,42.9,135.00
Moldova,Moldavie,31.21,EECA,31.2,91.00
Madagascar,Madagascar,27.76,Africa,27.7,54.00
Maldives,Maldives,32.16,Asia-Pacific,29.9,98.00
Mexico,Mexique,46.78,Americas,45.5,144.00
Macedonia,Macédoine,31.66,EU Balkans,31.3,95.00
Mali,Mali,35.23,Africa,34.1,112.00
Malta,Malte,29.74,EU Balkans,30.2,77.00
Myanmar,Birmanie,44.92,Asia-Pacific,44.8,138.00
Montenegro,Monténégro,32.74,EU Balkans,33.8,104.00
Mongolia,Mongolie,29.51,Asia-Pacific,29.6,70.00
Mozambique,Mozambique,32.66,Africa,33.8,103.00
Mauritania,Mauritanie,31.65,Africa,32.5,94.00
Mauritius,Maurice,28.46,Africa,28.0,58.00
Malawi,Malawi,29.36,Africa,29.3,68.00
Malaysia,Malaisie,36.74,Asia-Pacific,33.1,123.00
Namibia,Namibie,18.95,Africa,19.3,23.00
Niger,Niger,29.26,Africa,28.3,66.00
Nigeria,Nigeria,36.5,Africa,35.6,120.00
Nicaragua,Nicaragua,35.53,Americas,35.8,114.00
Netherlands,Pays-Bas,8.63,EU Balkans,10.0,4.00
Norway,Norvège,7.82,EU Balkans,7.8,1.00
Nepal,Népal,33.4,Asia-Pacific,35.1,106.00
New Zealand,Nouvelle-Zélande,10.75,Asia-Pacific,10.7,7.00
Oman,Oman,43.42,MENA,43.4,132.00
Pakistan,Pakistan,45.83,Asia-Pacific,45.5,142.00
Panama,Panama,29.78,Americas,29.8,79.00
Peru,Perou,30.22,Americas,30.9,85.00
Philippines,Philippines,43.91,Asia-Pacific,43.5,134.00
Papua New Guinea,Papouasie-Nouvelle-Guinée,24.7,Asia-Pacific,23.9,38.00
Poland,Pologne,28.89,EU Balkans,28.7,59.00
Democratic People's Republic of Korea,Corée du Nord,83.4,Asia-Pacific,85.8,179.00
Portugal,Portugal,12.63,EU Balkans,11.8,12.00
Paraguay,Paraguay,32.4,Americas,33.0,99.00
Palestine,Palestine,44.68,MENA,44.1,137.00
Qatar,Qatar,42.51,MENA,42.5,128.00
Romania,Roumanie,25.67,EU Balkans,25.9,47.00
Russian Federation,Russie,50.31,EECA,48.9,149.00
Rwanda,Rwanda,52.43,Africa,50.3,155.00
Saudi Arabia,Arabie saoudite,65.88,MENA,62.1,172.00
Sudan,Soudan,72.45,Africa,55.3,175.00
Senegal,Sénégal,25.81,Africa,24.0,49.00
Singapore,Singapour,51.41,Asia-Pacific,55.2,151.00
Sierra Leone,Sierra Leone,30.36,Africa,30.3,86.00
El Salvador,El Salvador,29.81,Americas,29.7,81.00
Somalia,Somalie,57.24,Africa,55.5,164.00
Serbia,Serbie,31.18,EU Balkans,31.6,90.00
South Sudan,Soudan du Sud,45.65,Africa,44.5,139.00
Suriname,Surinam,16.38,Americas,17.5,20.00
Slovakia,Slovaquie,23.58,EU Balkans,22.7,35.00
Slovenia,Slovénie,22.31,EU Balkans,22.6,34.00
Sweden,Suede,8.31,EU Balkans,9.3,3.00
Swaziland,Swaziland,49.09,Africa,45.2,147.00
Seychelles,Seychelles,29.41,Africa,28.7,69.00
Syrian Arab Republic,Syrie,71.78,MENA,72.6,174.00
Chad,Tchad,36.71,Africa,39.7,122.00
Togo,Togo,29.69,Africa,29.3,76.00
Thailand,Thaïlande,44.1,Asia-Pacific,44.9,136.00
Tajikistan,Tadjikistan,54.02,EECA,55.3,161.00
Turkmenistan,Turkménistan,85.44,EECA,85.4,180.00
East Timor,Timor-Leste,29.93,Asia-Pacific,29.9,84.00
Tonga,Tonga,25.41,Asia-Pacific,27.3,45.00
Trinidad and Tobago,Trinité-et-Tobago,24.74,Americas,23.2,39.00
Tunisia,Tunisie,29.61,MENA,29.5,72.00
Turkey,Turquie,52.81,EECA,50.0,157.00
Taiwan,Taïwan,24.98,Asia-Pacific,23.8,42.00
Tanzania,Tanzanie,36.28,Africa,40.3,118.00
Uganda,Ouganda,39.42,Africa,41.0,125.00
Ukraine,Ukraine,32.46,EECA,32.5,102.00
Uruguay,Uruguay,16.06,Americas,15.8,19.00
United States,Etats Unis,25.69,Americas,23.9,48.00
Uzbekistan,Ouzbékistan,53.52,EECA,53.1,160.00
Venezuela,Venezuela,49.1,Americas,45.7,148.00
Vietnam,Viêt Nam,74.93,Asia-Pacific,74.7,176.00
Samoa,Samoa,18.25,Asia-Pacific,18.3,22.00
OECS,OECS,26.04,Americas,23.8,50.00
Kosovo,Kosovo,29.68,EU Balkans,29.3,75.00
Yemen,Yémen,61.66,MENA,58.3,168.00
South Africa,Afrique du Sud,22.19,Africa,22.4,31.00
Zambia,Zambie,36.38,Africa,37.0,119.00
Zimbabwe,Zimbabwe,42.23,Africa,41.0,127.00
