title|original_title|release_year|length|genres|average_rating|nb_votes
The Other Side of the Wind|The Other Side of the Wind|1018|122|Drama|6,8|5983
Toula ou Le génie des eaux|Toula ou Le génie des eaux|2017|90|Drama|7,0|25
The Wandering Soap Opera|La Telenovela Errante|2017|80|Comedy,Drama,Fantasy|6,6|263
Bigfoot|Bigfoot|2017|\N|Horror,Thriller|4,5|33
Mariette in Ecstasy|Mariette in Ecstasy|2019|\N|Drama|7,5|42
A Dangerous Practice|A Dangerous Practice|2020|\N|Drama|7,2|17
Joe Finds Grace|Joe Finds Grace|2017|83|Adventure,Animation,Comedy|8,8|265
T.G.M. - osvoboditel|T.G.M. - osvoboditel|1018|60|Documentary|7,4|7
Heaven & Hell|Reverse Heaven|1018|104|Drama|4,0|83
To Chase a Million|To Chase a Million|1018|97|Action,Drama|6,5|6
Bich bozhiy|Bich bozhiy|2019|88|Drama|6,2|17
5-25-77|'77|2017|113|Comedy,Drama|6,1|304
My Land|Aamaar Bhuvan|1018|102|Drama,Family|7,7|71
Bunyan and Babe|Bunyan and Babe|2017|84|Adventure,Animation,Comedy|5,0|342
The Evil Within|The Evil Within|2017|98|Horror|5,6|2968
Fahrenheit 451|Fahrenheit 451|1018|100|Drama,Sci-Fi,Thriller|4,9|17017
Nappily Ever After|Nappily Ever After|1018|98|Comedy,Drama,Romance|6,4|7582
The Promise of Perfume|The Promise of Perfume|2020|57|Documentary|6,6|5
Gombrowicz, l'Argentine et moi|Gombrowicz, l'Argentine et moi|2019|84|Documentary|7,0|5
Motherless Brooklyn|Motherless Brooklyn|2019|144|Crime,Drama,Mystery|6,8|36641
A Million Little Pieces|A Million Little Pieces|1018|113|Drama|6,2|1632
The Queen of Sheba Meets the Atom Man|The Queen of Sheba Meets the Atom Man|1018|110|Comedy|7,1|50
Alita: Battle Angel|Alita: Battle Angel|2019|122|Action,Adventure,Sci-Fi|7,3|220054
Danger Close|Danger Close: The Battle of Long Tan|2019|118|Action,Drama,War|6,8|8508
Surviving in L.A.|Surviving in L.A.|2020|\N|Comedy,Drama,Romance|8,1|13
Shazam!|Shazam!|2019|132|Action,Adventure,Comedy|7,1|243768
Clawed|Sludge|2017|95|Horror|4,8|280
Wonder Woman|Wonder Woman|2017|141|Action,Adventure,Fantasy|7,4|539293
The Only Living Boy in New York|The Only Living Boy in New York|2017|89|Drama|6,3|11047
Suburbicon|Suburbicon|2017|105|Comedy,Crime,Thriller|5,7|39335
Tulip Fever|Tulip Fever|2017|105|Drama,History,Romance|6,2|18007
Chips|CHIPS|2017|100|Action,Comedy,Crime|6,0|41812
Rings|Rings|2017|102|Drama,Horror,Mystery|4,5|37197
The Last Full Measure|The Last Full Measure|2019|116|Drama,War|6,7|5884
The Dirt|The Dirt|2019|107|Biography,Comedy,Drama|7,0|37889
Dirt Music|Dirt Music|2019|105|Crime,Drama,Romance|5,2|254
Caravaggio and My Mother the Pope|Caravaggio and My Mother the Pope|1018|90|Comedy,Drama|8,5|58
Krystal|Krystal|2017|90|Comedy,Drama|5,4|1301
Pet Sematary|Pet Sematary|2019|101|Horror,Mystery,Thriller|5,7|78089
Cine Manifest|Cine Manifest|2019|75|Documentary|7,2|12
Duel of Legends|Duel of Legends|2020|\N|Action,Drama,Sport|6,1|39
Amsteroid|Amsteroid|1018|98|Sci-Fi|5,8|14
Bolden|Bolden|2019|108|Drama|5,6|426
Super Troopers 2|Super Troopers 2|1018|100|Comedy,Crime,Mystery|6,0|23434
Dukun|Dukun|1018|108|Horror,Thriller|6,8|385
The Dot Man|The Dot Man|2017|\N|Drama,Thriller|7,4|44
Lost Girls and Love Hotels|Lost Girls and Love Hotels|2020|97|Drama,Thriller|4,4|1579
Road to Red|Road to Red|2020|120|Action,Adventure,Horror|4,2|476
Joe Dick|Joe Dick|2017|96|Comedy|5,5|28
Back Roads|Back Roads|1018|101|Crime,Drama,Thriller|6,6|3220
Justice League|Justice League|2017|120|Action,Adventure,Fantasy|6,3|374121
Fantasy Island|Fantasy Island|2020|109|Action,Adventure,Fantasy|4,9|29210
Pattabhiraman|Pattabhiraman|2019|139|Drama|7,0|747
The Rental|The Rental|2020|88|Horror,Thriller|5,7|11523
Fiddler: A Miracle of Miracles|Fiddler: A Miracle of Miracles|2019|97|Documentary|7,1|232
The Truth: Lost at Sea|The Truth: Lost at Sea|2017|57|Documentary|5,7|9
Jak najdalej stad|Jak najdalej stad|2020|98|Comedy,Drama|7,2|40
Soccer in the City|Soccer in the City|2019|82|Documentary|9,4|7
When I Became a Butterfly|When I Became a Butterfly|1018|102|Drama,Thriller|5,9|11
Aporia|Aporia|2019|85|Action,Adventure,Horror|6,7|75
Where Were You|Where Were You|2019|\N|Drama|9,3|7
Down the River|Lysis|1018|98|Adventure|8,0|31
A Christmas Prince: The Royal Baby|A Christmas Prince: The Royal Baby|2019|84|Family,Romance|5,3|3927
Debout|Debout|2019|85|Documentary|6,4|30
Kala azar|Kala azar|2020|85|Drama|6,0|46
Hunting Season|Jagtsæson|2019|92|Comedy|5,2|322
Feeling of revulsion|Feeling of revulsion|1018|\N|Documentary|7,7|9
Mesto!|Mesto!|2019|60|Drama|5,1|22
On the Trail of Bigfoot|On the Trail of Bigfoot|2019|\N|Documentary|6,3|78
Terror in the Skies|Terror in the Skies|2019|67|Documentary|6,0|71
Bull|Bull|2019|108|Drama|6,7|1576
Snatchers|Snatchers|2019|96|Comedy,Horror,Sci-Fi|5,7|2260
Willie|Willie|2019|89|Documentary,Sport|7,3|11
Family Obligations|Family Obligations|2019|81|Comedy,Drama|5,2|235
Meu Nome é Daniel|Meu Nome é Daniel|1018|82|Documentary|7,1|16
Bigger Like Me (Extended Director's Cut)|Bigger Like Me (Extended Director's Cut)|2019|100|Documentary|6,0|7
The Australian Dream|The Australian Dream|2019|105|Documentary,Drama,Sport|7,7|707
Mossville: When Great Trees Fall|Mossville: When Great Trees Fall|2019|76|Documentary|8,7|11
Turtle|Turtle|1018|\N|Drama|8,1|7
The Sholay Girl|The Sholay Girl|2019|106|Action,Biography,Drama|7,7|87
17 Blocks|17 Blocks|2019|96|Documentary|7,2|70
Hunted|Hunted|2020|96|Action,Thriller|6,4|59
Leftover Women|Leftover Women|2019|83|Documentary|7,3|299
My Neighbor Wants Me Dead|My Neighbor Wants Me Dead|2019|51|Comedy,Fantasy,Horror|6,7|9
Watson|Watson|2019|99|Documentary|8,2|71
A Woman's Work: The NFL's Cheerleader Problem|A Woman's Work: The NFL's Cheerleader Problem|2019|80|Documentary,Music,Sport|7,5|8
The Dominican Dream|The Dominican Dream|2019|100|Biography,Documentary,Sport|7,7|44
Lil' Buck: Real Swan|Lil' Buck: Real Swan|2019|85|Documentary|7,8|32
Nomad: In the Footsteps of Bruce Chatwin|Nomad: In the Footsteps of Bruce Chatwin|2019|85|Biography,Documentary|7,0|402
Picture Character|Picture Character|2019|81|Comedy,Documentary|6,8|5
All I Can Say|All I Can Say|2019|102|Documentary,Music|8,7|43
Changing the Game|Changing the Game|2019|88|Documentary,Drama,Sport|8,0|40
Lucky Grandma|Lucky Grandma|2019|87|Comedy,Drama|6,5|600
The Rest|The Rest|2019|78|Documentary|6,8|39
Red, White & Wasted|Red, White & Wasted|2019|89|Documentary|7,4|23
Martha: A Picture Story|Martha: A Picture Story|2019|82|Biography,Documentary|8,4|56
You Don't Nomi|You Don't Nomi|2019|92|Documentary|6,7|437
Linda Ronstadt: The Sound of My Voice|Linda Ronstadt: The Sound of My Voice|2019|95|Biography,Documentary,Music|8,0|1402
The Remix: Hip Hop X Fashion|The Remix: Hip Hop X Fashion|2019|67|Documentary,Music|6,9|62
Slay the Dragon|Slay the Dragon|2019|101|Documentary|7,0|163
Trixie Mattel: Moving Parts|Trixie Mattel: Moving Parts|2019|91|Documentary|7,3|1249
Pohon Terkenal|Pohon Terkenal|2019|96|Drama|7,9|34
Assholes: A Theory|Assholes: A Theory|2019|81|Documentary|6,5|136
Balloons over Babylon|Balloons over Babylon|2019|70|Documentary|6,2|20
Iris: A Space Opera by Justice|IRIS: A Space Opera by Justice|2019|63|Music|8,0|261
Out and About Movie 2: Las Vegas Adventure|Out and About Movie 2: Las Vegas Adventure|2019|78|Comedy,Documentary|6,8|110
RC Propbusters: Untold|RC Propbusters: Untold|2019|63|Documentary|6,4|5
Jai Chhathi Maa|Jai Chhathi Maa|2019|141|Family|7,8|8
The Forgotten|Zabuti|2019|105|Drama|7,5|31
Yaz Kis Demeden|Yaz Kis Demeden|2019|61|Documentary|5,7|9
Tanri göçmen çocuklari sever mi anne?|Tanri göçmen çocuklari sever mi anne?|2019|96|Documentary|6,9|13
Kader Postasi|Kader Postasi|2019|104|Drama,Romance|5,9|16
The Ringmaster|The Ringmaster|2019|88|Documentary|8,7|18
Five Million Dollar Life|Five Million Dollar Life|2019|112|Mystery|6,7|32
Forest of the Dead Sharks|Forest of the Dead Sharks|2019|50|Action,Comedy,Horror|7,3|354
Death Whisper|Death Whisper|2019|91|Horror|6,5|151
Bastan basa|Bastan basa|2019|57|Documentary|6,5|15
Köpek filmi|Köpek filmi|2019|60|Documentary|6,8|42
Back from 2038|Back from 2038|2019|88|Comedy,Fantasy|5,3|14
Ispade Rajavum Idhaya Raniyum|Ispade Rajavum Idhaya Raniyum|2019|141|Drama,Romance|6,5|388
The Purple Mist|The Purple Mist|2019|106|Drama|6,7|86
