Petition,URL,State,Signatures Count
Make British Sign Language part of the National Curriculum,https://petition.parliament.uk/archived/petitions/200000,closed,35203
Lobster Pots and Small Craft Safety – time to change the rules!,https://petition.parliament.uk/archived/petitions/200001,closed,10770
All high-rise tower blocks over 30 metres must have sprinklers installed.,https://petition.parliament.uk/archived/petitions/200003,closed,271
Hold a referendum on the final Brexit deal,https://petition.parliament.uk/archived/petitions/200004,closed,145118
Give all British citizens living abroad the right to vote and dedicated MPs,https://petition.parliament.uk/archived/petitions/200005,closed,10314
Improve Availability of NHS Services for FND Sufferers,https://petition.parliament.uk/archived/petitions/200007,closed,3297
To have a second referendum on Brexit once a final agreement with the EU agreed.,https://petition.parliament.uk/archived/petitions/200008,closed,981
"Stop our railway stations being closed by stealth!
",https://petition.parliament.uk/archived/petitions/200010,rejected,6
Legislate to vaccinate all cows against TB and stop culling Badgers.,https://petition.parliament.uk/archived/petitions/200011,closed,131
Use the Powers of the EU Withdrawal Act to withdraw our ART50 and Cancel Brexit.,https://petition.parliament.uk/archived/petitions/200012,rejected,6
Fund research into pediatric brain cancer & earlier access to experimental drugs,https://petition.parliament.uk/archived/petitions/200017,closed,21799
Debate in Parliament the absence of treatment for Myalgic Encephalomyelitis (ME),https://petition.parliament.uk/archived/petitions/200018,rejected,7
Petition to close Holyrood Parliament in Scotland,https://petition.parliament.uk/archived/petitions/200019,rejected,21
Legalise cannabis for medical and recreational use.,https://petition.parliament.uk/archived/petitions/200021,closed,25399
Establish an independent department to ensure truthful politics,https://petition.parliament.uk/archived/petitions/200022,rejected,12
Proscribe Hezbollah as a terrorist organisation in its entirety in the UK,https://petition.parliament.uk/archived/petitions/200023,closed,3950
Voluntary Right to Buy (VRTB) Scheme for Housing Associations - Update Needed,https://petition.parliament.uk/archived/petitions/200025,closed,1539
Hold the CMS accountable & reform into what it says on the tin !,https://petition.parliament.uk/archived/petitions/200030,rejected,21
Pay Up Now! – Scrap the pay cap and give public servants a meaningful pay rise,https://petition.parliament.uk/archived/petitions/200032,closed,149138
Return Scottish devolved powers to UK Government and Parliament,https://petition.parliament.uk/archived/petitions/200033,closed,3080
To retract the £1bn DUP deal and use the money across the whole United Kingdom.,https://petition.parliament.uk/archived/petitions/200035,closed,473
Bring the limit to claim for unfair dismissal down from 2 years to 12 months,https://petition.parliament.uk/archived/petitions/200037,closed,57
"We oppose all attempts to bring in online ""hate crime"" laws and/or prosecutions.",https://petition.parliament.uk/archived/petitions/200039,rejected,6
Make the video recording of PIP and ESA assessments mandatory.,https://petition.parliament.uk/archived/petitions/200040,rejected,6
