Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1578451116,2020-01-08T02:38:36Z,AUI752,"35.412838,51.15638",0,15,109
1578451127,2020-01-08T02:38:47Z,AUI752,"35.412533,51.157444",0,18,109
1578451133,2020-01-08T02:38:53Z,AUI752,"35.412392,51.157951",0,19,109
1578451144,2020-01-08T02:39:04Z,AUI752,"35.412048,51.15918",0,22,106
1578451154,2020-01-08T02:39:14Z,AUI752,"35.411636,51.160656",0,23,106
1578451160,2020-01-08T02:39:20Z,AUI752,"35.411415,51.161446",0,23,106
1578451173,2020-01-08T02:39:33Z,AUI752,"35.41103,51.162834",0,20,109
1578451179,2020-01-08T02:39:39Z,AUI752,"35.410843,51.163521",0,19,109
1578451185,2020-01-08T02:39:45Z,AUI752,"35.410706,51.164032",0,32,109
1578451193,2020-01-08T02:39:53Z,AUI752,"35.410686,51.164391",0,20,87
1578451201,2020-01-08T02:40:01Z,AUI752,"35.410789,51.164646",0,11,61
1578451244,2020-01-08T02:40:44Z,AUI752,"35.410984,51.164848",0,17,36
1578451250,2020-01-08T02:40:50Z,AUI752,"35.411201,51.164963",0,22,22
1578451256,2020-01-08T02:40:56Z,AUI752,"35.411419,51.165062",0,22,19
1578451262,2020-01-08T02:41:02Z,AUI752,"35.411671,51.165176",0,23,19
1578451268,2020-01-08T02:41:08Z,AUI752,"35.412014,51.165318",0,31,16
1578451275,2020-01-08T02:41:15Z,AUI752,"35.412403,51.165474",0,33,16
1578451281,2020-01-08T02:41:21Z,AUI752,"35.412788,51.165607",0,31,11
1578451289,2020-01-08T02:41:29Z,AUI752,"35.413265,51.165359",0,30,315
1578451297,2020-01-08T02:41:37Z,AUI752,"35.413475,51.164848",0,17,289
1578451305,2020-01-08T02:41:45Z,AUI752,"35.413834,51.163578",0,36,286
1578451314,2020-01-08T02:41:54Z,AUI752,"35.414623,51.160755",0,74,286
1578451354,2020-01-08T02:42:34Z,AUI752,"35.423355,51.12957",3425,177,289
1578451360,2020-01-08T02:42:40Z,AUI752,"35.424809,51.12447",3575,183,289
1578451367,2020-01-08T02:42:47Z,AUI752,"35.426834,51.117382",3750,190,289
1578451373,2020-01-08T02:42:53Z,AUI752,"35.428528,51.111431",3925,196,289
1578451384,2020-01-08T02:43:04Z,AUI752,"35.432259,51.098347",4375,199,288
1578451391,2020-01-08T02:43:11Z,AUI752,"35.434353,51.090984",4500,207,289
1578451397,2020-01-08T02:43:17Z,AUI752,"35.43626,51.084263",4575,216,289
1578451404,2020-01-08T02:43:24Z,AUI752,"35.43837,51.076927",4675,223,289
1578451416,2020-01-08T02:43:36Z,AUI752,"35.442764,51.061535",4875,238,289
1578451428,2020-01-08T02:43:48Z,AUI752,"35.447342,51.045856",5125,251,289
1578451440,2020-01-08T02:44:00Z,AUI752,"35.452324,51.028866",5500,261,289
1578451453,2020-01-08T02:44:13Z,AUI752,"35.45755,51.010895",5800,273,289
1578451464,2020-01-08T02:44:24Z,AUI752,"35.463409,50.993614",6325,274,297
1578451473,2020-01-08T02:44:33Z,AUI752,"35.469635,50.981598",6800,274,305
1578451480,2020-01-08T02:44:40Z,AUI752,"35.474533,50.974045",7075,275,309
1578451486,2020-01-08T02:44:46Z,AUI752,"35.480072,50.966663",7350,276,313
1578451492,2020-01-08T02:44:52Z,AUI752,"35.485428,50.959682",7650,276,313
1578451498,2020-01-08T02:44:58Z,AUI752,"35.490463,50.952988",7925,275,312
