mp,name,ons_code,signature_count
Virginia Crosbie MP,Ynys Môn,W07000041,199
Rob Roberts MP,Delyn,W07000042,49
Rt Hon Mark Tami MP,Alyn and Deeside,W07000043,39
Sarah Atherton MP,Wrexham,W07000044,57
Nia Griffith MP,Llanelli,W07000045,159
Tonia Antoniazzi MP,Gower,W07000046,92
Geraint Davies MP,Swansea West,W07000047,92
Carolyn Harris MP,Swansea East,W07000048,73
Stephen Kinnock MP,Aberavon,W07000049,68
Jo Stevens MP,Cardiff Central,W07000050,158
Anna McMorrin MP,Cardiff North,W07000051,124
Chris Bryant MP,Rhondda,W07000052,70
Nick Thomas-Symonds MP,Torfaen,W07000053,38
David T C Davies MP,Monmouth,W07000054,50
Jessica Morden MP,Newport East,W07000055,51
Ruth Jones MP,Newport West,W07000056,67
Hywel Williams MP,Arfon,W07000057,378
Robin Millar MP,Aberconwy,W07000058,93
Rt Hon David Jones MP,Clwyd West,W07000059,81
Dr James Davies MP,Vale of Clwyd,W07000060,59
Rt Hon Liz Saville Roberts MP,Dwyfor Meirionnydd,W07000061,215
Simon Baynes MP,Clwyd South,W07000062,74
Craig Williams MP,Montgomeryshire,W07000063,59
Ben Lake MP,Ceredigion,W07000064,203
Rt Hon Stephen Crabb MP,Preseli Pembrokeshire,W07000065,85
Simon Hart MP,Carmarthen West and South Pembrokeshire,W07000066,88
Jonathan Edwards MP,Carmarthen East and Dinefwr,W07000067,132
Fay Jones MP,Brecon and Radnorshire,W07000068,68
Christina Rees MP,Neath,W07000069,96
Beth Winter MP,Cynon Valley,W07000070,78
Gerald Jones MP,Merthyr Tydfil and Rhymney,W07000071,88
Nick Smith MP,Blaenau Gwent,W07000072,55
Dr Jamie Wallis MP,Bridgend,W07000073,82
Chris Elmore MP,Ogmore,W07000074,83
Alex Davies-Jones MP,Pontypridd,W07000075,114
Wayne David MP,Caerphilly,W07000076,105
Chris Evans MP,Islwyn,W07000077,76
Rt Hon Alun Cairns MP,Vale of Glamorgan,W07000078,101
Kevin Brennan MP,Cardiff West,W07000079,174
Stephen Doughty MP,Cardiff South and Penarth,W07000080,140
