biz_type,name,postcode,rating_date,rating_key,rating_value
Pub/bar/nightclub,10 Feet Tall,CF10 1BG,2019-12-13,fhrs_1_en-GB,1
Restaurant/Cafe/Canteen,200 Degrees Coffee Shop,CF10 2BH,2018-10-23,fhrs_5_en-GB,5
Restaurant/Cafe/Canteen,29 Park Place,CF10 3BA,2018-10-18,fhrs_5_en-GB,5
Retailers - other,4 Loaves Bakery,CF10 1AX,2017-11-14,fhrs_5_en-GB,5
Pub/bar/nightclub,4th Glamorgan Home Guard Club,CF5 5LQ,2016-08-04,fhrs_5_en-GB,5
Retailers - other,4Winds,CF11 6QP,2019-03-12,fhrs_5_en-GB,5
Retailers - other,8 Till Late,CF11 6AJ,2016-09-05,fhrs_5_en-GB,5
Retailers - other,A & K Rees Family Butchers,CF5 1JJ,2019-10-21,fhrs_5_en-GB,5
Retailers - other,A & S Griffiths,CF10 1AU,2020-02-06,fhrs_4_en-GB,4
Retailers - other,A & S Griffiths,CF10 1AU,2019-11-14,fhrs_4_en-GB,4
Mobile caterer,A & S Interiors,CF10 1AU,2019-10-23,fhrs_4_en-GB,4
Hospitals/Childcare/Caring Premises,A Bright Start Nursery Ltd,CF3 2ES,2019-04-11,fhrs_3_en-GB,3
Hospitals/Childcare/Caring Premises,A D C P St Germans Church Hall,CF24 0JY,2019-06-27,fhrs_5_en-GB,5
Mobile caterer,A J Holmes Catering Ltd,CF11 8BB,2018-03-23,fhrs_3_en-GB,3
Retailers - other,A K General Store Off Licence,CF10 5GX,2020-08-24,fhrs_4_en-GB,4
Restaurant/Cafe/Canteen,A La Carte,CF5 2YN,2019-08-12,fhrs_3_en-GB,3
Restaurant/Cafe/Canteen,A Star Cafe,CF24 4TQ,2020-01-07,fhrs_5_en-GB,5
Mobile caterer,A. Js Mobile Catering,CF24 4TQ,2018-07-05,fhrs_5_en-GB,5
Retailers - other,A.M.I. Enterprises,CF5 3BQ,2017-12-19,fhrs_5_en-GB,5
Retailers - other,A1 Off Licence,CF3 5NZ,2014-05-19,fhrs_4_en-GB,4
Other catering premises,Aberdare Hall of Residence,CF10 3UP,2019-02-04,fhrs_4_en-GB,4
Retailers - other,Abo Alabed,CF24 1LX,2020-03-16,fhrs_1_en-GB,1
Restaurant/Cafe/Canteen,Abo Ali Ltd,CF24 3JH,2019-05-21,fhrs_5_en-GB,5
Retailers - other,Absorb,CF23 5PQ,2017-09-18,fhrs_5_en-GB,5
