Year,Month,Temp max C,Temp min C,Air frost (days),Rain (mm),Sun (hours)
1977,September,18.3,8.1,0,48.60,117.9
1977,October,15.4,9,0,76.00,80.4
1977,November,10.3,4.7,4,147.90,76.4
1977,December,9.6,4.6,2,88.00,25.6
1978,January,7.5,2,6,134.10,64.7
1978,February,6.2,0.9,13,134.10,56.9
1978,March,10.6,3.9,3,121.30,122.4
1978,April,10.9,3.7,4,63.60,118.6
1978,May,17.3,7.5,0,30.60,188.1
1978,June,18.5,9.5,0,29.60,177.3
1978,July,18.7,11.8,0,110.10,115.8
1978,August,19.6,11.4,0,40.50,164.9
1978,September,18.4,10.2,0,34.10,182.2
1978,October,16.6,9,0,12.00,81.1
1978,November,12.5,5.7,4,82.80,49.5
1978,December,8.2,3.4,6,219.50,36.4
1979,January,4.6,-2.9,27,117.80,63.1
1979,February,4.4,-0.4,13,81.90,58.1
1979,March,8.4,2.6,2,112.90,83.2
1979,April,12.3,4.7,3,60.20,152.6
1979,May,13.9,5.9,5,109.80,184.6
1979,June,18.2,9.8,0,25.90,168.9
1979,July,21.1,12.4,0,37.30,224.8
1979,August,18.9,11.2,0,135.40,189.1
1979,September,17.7,9,0,59.10,167.2
1979,October,15.5,8.7,0,88.80,105.7
1979,November,11.2,3.5,5,90.90,59.2
1979,December,10.1,4,8,180.90,46.6
1980,January,6,-0.8,19,96.60,60.8
1980,February,9.9,4.4,1,122.40,44.1
1980,March,8.8,2.8,3,152.60,82.7
1980,April,14.4,4.5,3,15.00,189.1
1980,May,17.7,7.4,0,43.60,208.2
1980,June,18.3,10.3,0,125.80,175.6
1980,July,19,11.2,0,67.20,167.4
1980,August,20,12.6,0,85.80,158.2
1980,September,18.5,11.8,0,99.20,147.9
1980,October,13.3,5.8,0,147.50,108.1
1980,November,9.8,5.1,4,131.80,82.7
1980,December,9.5,3.3,8,108.20,59.4
1981,January,8.8,2.6,7,58.20,50.9
1981,February,6.8,0.7,13,62.90,69
1981,March,11.6,6.7,1,204.10,82.4
1981,April,13.2,5.3,0,37.10,157.5
1981,May,15.4,7.9,0,125.00,111.9
1981,June,17.8,10.6,0,49.50,135.3
1981,July,20,12.7,0,30.10,154.4
1981,August,22.1,12.1,0,27.80,192.9
1981,September,19.3,10.9,0,218.80,144.6
1981,October,12.6,5.5,2,148.40,98.4
1981,November,11.4,5.2,2,72.50,47
1981,December,5.7,-0.3,16,118.70,51.2
1982,January,6.5,0.9,11,85.30,40.2
1982,February,8.8,3.3,4,69.50,52.1
