Year,Incident cost,Description,Animal group,Property type,Property category,Service type,"Ward code
",Ward,Borough Code,Borough,Station,Postcode,Latitude,Longitude
2009,510,"DOG WITH JAW TRAPPED IN MAGAZINE RACK,B15",Dog,House - single occupancy,Dwelling,Other animal assistance,E05011467,Crystal Palace & Upper Norwood,E09000008,Croydon,Norbury,SE19,NULL,NULL
2009,255,"ASSIST RSPCA WITH FOX TRAPPED,B15",Fox,Railings,Outdoor Structure,Other animal assistance,E05000169,Woodside,E09000008,Croydon,Woodside,SE25,51.39095371,-0.064166887
2009,255,"DOG CAUGHT IN DRAIN,B15",Dog,Pipe or drain,Outdoor Structure,Animal rescue from below ground,E05000558,Carshalton Central,E09000029,Sutton,Wallington,SM5,51.36894086,-0.161985191
2009,255,"HORSE TRAPPED IN LAKE,J17",Horse,"Intensive Farming Sheds (chickens, pigs etc) ",Non Residential,Animal rescue from water,E05000330,Harefield,E09000017,Hillingdon,Ruislip,UB9,51.60528344,-0.489683853
2009,255,"RABBIT TRAPPED UNDER SOFA,B15",Rabbit,House - single occupancy,Dwelling,Other animal assistance,E05000310,Gooshays,E09000016,Havering,Harold Hill,RM3,NULL,NULL
2009,255,"ANIMAL TRAPPED BEHIND FIREPLACE,B15",Unknown - Heavy Livestock Animal,House - single occupancy,Dwelling,Other animal assistance,E05000027,Alibon,E09000002,Barking and Dagenham,Dagenham,RM10,NULL,NULL
2009,255,"DOG WITH HEAD TRAPPED IN RAILINGS,B15",Dog,Park,Outdoor,Other animal assistance,E05000591,Cathall,E09000031,Waltham Forest,Leytonstone,E11,51.55722086,0.003880198
2009,255,"LABRADOR FALLEN THROUGH THE ICE,J15",Dog,Lake/pond/reservoir,Outdoor,Animal rescue from water,E05000515,Wanstead,E09000026,Redbridge,Leytonstone,E12,51.56106688,0.037433776
2009,255,"SQUIRREL TRAPPED ON WINDOWSILL,B15",Squirrel,House - single occupancy,Dwelling,Animal rescue from height,E05011470,New Addington North,E09000008,Croydon,Addington,CR0,NULL,NULL
2009,255,"DOG STUCK IN MUD, J15",Dog,River/canal,Outdoor,Animal rescue from water,E05009380,Lea Bridge,E09000012,Hackney,Stoke Newington,E5,51.56331352,-0.047620955
2009,255,"TO ASSIST RSPCA WITH CAT TRAPPED UP TREE,B15",Cat,Tree scrub,Outdoor,Animal rescue from height,E05000115,Cray Valley West,E09000006,Bromley,Orpington,BR5,51.4036626,0.111722339
